,value
Strategy Annual Return,0.05871481375177473
Strategy Annual Vol,0.10507875732336713
Strategy Sharpe,0.5587695862360363
SPY Annual Return,0.17861978407625517
SPY Annual Vol,0.18691617046118886
SPY Sharpe,0.9556143999501833
Excess Return (annual),-0.11990497032448044
Tracking Error,0.2445067742078688
Information Ratio,-0.4903952895085948
CAPM Alpha (annual),0.09400241798260442
Beta to SPY,-0.19755708704565977
Alpha t-stat,1.6797344464421533
Max Drawdown,-0.17736480845122837
Hit Rate vs SPY,0.43902439024390244
Average Turnover,2.9864406779661015
